"","symbol","message_count","bytes","seconds_spent"
"98","GAL-USD",3,1231,120
"99","FLR-USD",1,421,120
"100","XCN-USD",80,34654,120
"101","BTC-USD",134,58667,120
"102","JTO-USD",1,410,120
"103","RAD-USD",1,405,120
"104","ICP-GBP",1,413,120
"105","USDT-EUR",145,61723,120
"106","COMP-BTC",1,421,120
"107","ATOM-BTC",1,422,120
"108","SOL-ETH",1,417,120
"109","DOGE-EUR",4,1689,120
"110","ZRX-USD",14,6070,120
"111","XLM-BTC",1,436,120
"112","ATOM-USD",10,4143,120
"113","CVC-USD",37,15276,120
"114","LTC-BTC",1,434,120
"115","SUPER-USD",188,79104,120
"116","ZEN-USD",13,5303,120
"117","OCEAN-USD",6,2477,120
"118","FORT-USD",44,18365,120
"119","VARA-USD",7,2926,120
"120","BLUR-USD",30,12485,120
"121","MNDE-USD",9,3769,120
"122","GRT-BTC",31,13801,120
"123","CBETH-USD",8,3363,120
"124","LCX-USD",3,1240,120
"125","AVAX-USDT",1,408,120
"126","FLR-USD",2,839,120
"127","ARB-USD",32,13295,120
"128","ADA-USD",8,3365,120
"129","LTC-GBP",2,827,120
"130","STORJ-USD",8,3362,120
"131","GAL-USD",4,1637,120
"132","GHST-USD",2,811,120
"133","ORN-USD",9,3649,120
"134","SAND-USDT",1,407,120
"135","TRB-USD",9,3714,120
"136","MANA-USD",2,841,120
"137","ICP-USD",129,53894,120
"138","GUSD-USD",1,398,120
"139","RAI-USD",1,397,120
"140","MASK-USD",1,405,120
"141","CHZ-USDT",1,416,120
"142","DASH-BTC",1,434,120
"143","ZEC-BTC",1,422,120
"144","LINK-BTC",1,434,120
"145","APE-EUR",1,405,120
"146","PYUSD-USD",1,418,120
"147","BTC-USD",230,100863,120
"148","USDT-EUR",52,22115,120
"149","LCX-USD",44,18184,120
"150","XCN-USD",107,46164,120
"151","TVK-USD",10,4167,120
"152","ORN-USD",17,6893,120
"153","OCEAN-USD",4,1653,120
"154","VARA-USD",10,4171,120
"155","FORT-USD",65,27167,120
"156","SUPER-USD",25,10494,120
"157","ATOM-USD",6,2491,120
"158","ATOM-USDT",2,811,120
"159","ARB-USD",24,9977,120
"160","ZEN-USD",4,1637,120
"161","ROSE-USDT",7,2906,120
"162","DNT-USD",1,420,120
"163","ZRX-USD",4,1746,120
"164","FLR-USD",13,5448,120
"165","MANA-USD",17,7125,120
"166","ADA-USD",39,16434,120
"167","ICP-GBP",2,824,120
"168","GAL-USD",4,1637,120
"169","MNDE-USD",1,423,120
"170","GRT-BTC",57,25320,120
"171","LTC-BTC",1,438,120
"172","JTO-USD",8,3306,120
"173","STORJ-USD",5,2101,120
"174","BLUR-USD",7,2912,120
"175","CVC-USD",8,3296,120
"176","ADA-BTC",2,882,120
"177","XLM-BTC",2,873,120
"178","AVAX-USDT",3,1221,120
"179","NEAR-USDT",3,1225,120
"180","CBETH-USD",3,1261,120
"181","TRB-USD",1,414,120
"182","LRC-USDT",1,413,120
"183","ICP-USD",342,142684,120
"184","BTC-USD",247,108103,120
"185","AVAX-USDT",7,2856,120
"186","APE-USDT",1,407,120
"187","DESO-USD",59,23793,120
"188","JASMY-USD",5,2152,120
"189","NEAR-USD",52,21385,120
"190","XRP-USD",37,16087,120
"191","ENJ-BTC",1,434,120
"192","SPA-USD",5,2110,120
"193","ONDO-USD",44,18400,120
"194","BOBA-USD",3,1232,120
"195","QNT-USD",1,411,120
"196","USDT-EUR",72,30576,120
"197","XCN-USD",64,27545,120
"198","ORN-USD",13,5261,120
"199","OCEAN-USD",8,3315,120
"200","ICP-GBP",5,2056,120
"201","ZEN-USD",11,4496,120
"202","SUPER-USD",20,8421,120
"203","ZRX-USD",5,2197,120
"204","CVC-USD",14,5763,120
"205","FORT-USD",60,25033,120
"206","ADA-USD",39,16450,120
"207","VARA-USD",8,3337,120
"208","ARB-USD",13,5399,120
"209","BLUR-USD",3,1246,120
"210","TVK-USD",21,8750,120
"211","ATOM-USD",8,3302,120
"212","ALGO-BTC",2,864,120
"213","MANA-USD",2,835,120
"214","LCX-USD",17,7037,120
